date,open,low,close,volume
2021-05-25,251.769,250.82,251.72,17704303
2021-05-24,247.785,247.51,250.78,21411547
2021-05-21,247.565,244.74,245.17,21863058
2021-05-20,243.96,243.86,246.48,21800716
2021-05-19,239.31,238.6,243.12,25739807
2021-05-18,246.27,242.9,243.08,20167975
2021-05-17,246.55,243.52,245.18,24970168
2021-05-14,245.575,245.49,248.15,23901081
2021-05-13,241.8,241.42,243.03,29624298
2021-05-12,242.165,238.07,239.0,36684370
2021-05-11,244.55,242.57,246.23,33641589
2021-05-10,250.87,247.12,247.18,29299890
2021-05-07,252.15,251.17,252.46,27032912
2021-05-06,246.45,244.69,249.73,26491085
2021-05-05,249.06,245.82,246.47,21901325
2021-05-04,250.97,245.76,247.79,32756052
2021-05-03,253.4,251.12,251.86,19626568
2021-04-30,249.74,249.6,252.18,30945098
2021-04-29,255.46,249.0,252.51,40589023
2021-04-28,256.078,252.95,254.56,46903119
2021-04-27,261.585,260.12,261.97,31014213
2021-04-26,261.66,260.17,261.55,19763346
2021-04-23,257.88,257.27,261.15,21499286
2021-04-22,260.21,255.64,257.17,25606152
2021-04-21,258.94,257.25,260.58,24030383
2021-04-20,257.82,256.84,258.26,19722875
2021-04-19,260.19,257.821,258.74,23209260
2021-04-16,259.47,257.6014,260.74,24878582
2021-04-15,257.931,257.73,259.5,25627481
2021-04-14,257.475,255.16,255.59,23070938
2021-04-13,257.2573,256.83,258.49,23837469
2021-04-12,254.71,254.62,255.91,27148668
2021-04-09,252.87,252.44,255.85,24326833
2021-04-08,252.77,252.0,253.25,23625197
2021-04-07,247.81,247.19,249.9,22719835
2021-04-06,247.61,246.88,247.86,22931923
2021-04-05,242.76,242.7,249.07,36910609
2021-04-01,238.47,238.0501,242.35,30337982
2021-03-31,232.91,232.39,235.77,43623471
2021-03-30,233.525,231.1,231.85,24792012
2021-03-29,236.59,231.88,235.24,25227455
2021-03-26,231.55,231.55,236.48,25479853
2021-03-25,235.3,231.57,232.34,34061853
2021-03-24,237.845,235.32,235.46,25620127
2021-03-23,237.485,237.07,237.58,31638376
2021-03-22,230.27,230.14,235.99,30127005
2021-03-19,231.02,229.3496,230.35,46430730
2021-03-18,232.56,230.33,230.72,34852251
2021-03-17,236.15,233.23,237.04,29562100
2021-03-16,236.28,235.94,237.71,28092196
2021-03-15,234.96,231.81,234.81,26042669
2021-03-12,234.01,233.23,235.75,22653662
2021-03-11,234.96,234.31,237.13,29907586
2021-03-10,237.0,232.04,232.42,29746812
2021-03-09,232.88,231.67,233.78,33080531
2021-03-08,231.37,227.13,227.39,35267440
2021-03-05,229.5165,226.46,231.6,41872770
2021-03-04,226.735,224.26,226.73,44727785
2021-03-03,232.155,227.26,227.56,34029526
2021-03-02,237.01,233.45,233.87,22812459
2021-03-01,235.9,233.15,236.94,25332837
2021-02-26,231.525,229.54,232.38,37819227
2021-02-25,232.08,227.88,228.99,39542235
2021-02-24,230.01,229.0,234.55,26339746
2021-02-23,230.325,228.73,233.27,30228704
2021-02-22,237.42,232.4,234.51,36446936
2021-02-19,243.75,240.18,240.97,25262600
2021-02-18,241.8,240.86,243.79,16925563
2021-02-17,241.32,240.94,244.2,21673109
2021-02-16,245.03,242.92,243.7,26728487
2021-02-12,243.9332,242.73,244.99,16561079
2021-02-11,244.78,242.15,244.49,15751059
2021-02-10,245.0,240.89,242.82,22186706
2021-02-09,241.87,241.38,243.77,23564953
2021-02-08,243.15,240.81,242.47,22211929
2021-02-05,242.23,240.42,242.2,18054752
2021-02-04,242.66,240.37,242.01,25296100
2021-02-03,239.57,239.26,243.0,27158104
2021-02-02,241.3,238.69,239.51,25916337
2021-02-01,235.06,232.43,239.65,33314193
2021-01-29,235.99,231.35,231.96,42503138
2021-01-28,235.61,235.09,238.93,49111159
2021-01-27,238.0,230.14,232.9,69870638
2021-01-26,231.86,230.08,232.33,49169601
2021-01-25,229.12,224.22,229.53,33152095
2021-01-22,227.08,225.8,225.95,30172663
2021-01-21,224.7,222.42,224.97,30749553
2021-01-20,217.7,217.2908,224.34,37777260
2021-01-19,213.75,212.63,216.44,30480859
2021-01-15,213.52,212.03,212.65,31746512
2021-01-14,215.91,212.74,213.02,29346737
2021-01-13,214.02,213.9266,216.34,20087080
2021-01-12,216.5,213.3202,214.93,23249336
2021-01-11,218.47,216.73,217.49,23047029
2021-01-08,218.68,217.0261,219.62,22956206
2021-01-07,214.04,213.71,218.29,27694480
2021-01-06,212.17,211.94,212.25,35930653
2021-01-05,217.26,215.7,217.9,23822953
2021-01-04,222.53,214.81,217.69,37130139
2020-12-31,221.7,219.68,222.42,20942132
2020-12-30,225.23,221.47,221.68,20272337
2020-12-29,226.31,223.58,224.15,17403213
2020-12-28,224.45,223.02,224.96,17933496
2020-12-24,221.42,221.2,222.75,10550572
2020-12-23,223.11,220.8,221.02,18699638
2020-12-22,222.69,221.85,223.94,22643397
2020-12-21,217.55,217.2801,222.59,37181886
2020-12-18,218.59,216.02,218.59,63354922
2020-12-17,219.87,217.92,219.42,32515784
2020-12-16,214.75,214.72,219.28,35023253
2020-12-15,215.165,212.24,214.13,27018106
2020-12-14,213.1,212.88,214.2,28798379
2020-12-11,210.05,209.11,213.26,30979440
2020-12-10,211.77,210.36,210.52,26467017
2020-12-09,215.16,211.214,211.8,32440603
2020-12-08,213.97,212.89,216.01,23284094
2020-12-07,214.37,212.99,214.29,24619997
2020-12-04,214.22,213.18,214.36,24666039
2020-12-03,214.61,213.65,214.24,25120922
2020-12-02,214.88,212.8,215.37,23724509
2020-12-01,214.51,213.35,216.21,30931318
2020-11-30,214.1,210.835,214.07,33064753
2020-11-27,214.85,214.04,215.23,14512213
2020-11-25,215.11,212.46,213.87,21012887
2020-11-24,209.59,208.86,213.86,33979731
2020-11-23,210.95,208.16,210.11,25683507
2020-11-20,212.2,210.0,210.39,22843119
2020-11-19,211.38,209.93,212.42,24792746
2020-11-18,213.65,210.93,211.08,28372789
2020-11-17,216.1,214.08,214.46,24154112
2020-11-16,214.87,214.52,217.23,24953344
2020-11-13,216.36,214.16,216.51,18630307
2020-11-12,217.21,214.46,215.44,21616115
2020-11-11,212.39,212.2,216.55,29440788
2020-11-10,214.5,209.72,211.01,44045120
2020-11-09,224.435,217.88,218.39,44394950
2020-11-06,222.26,218.03,223.72,25231895
2020-11-05,222.04,221.15,223.29,36080137
2020-11-04,214.02,212.4185,216.39,42311777
2020-11-03,203.89,203.12,206.43,27512030
2020-11-02,204.29,200.12,202.33,30842163
2020-10-30,203.5,199.62,202.47,36980111
2020-10-29,204.07,203.37,204.72,31432563
2020-10-28,207.67,202.1,202.68,51195593
2020-10-27,211.59,210.329,213.25,36700325
2020-10-26,213.85,208.1,210.08,37111561
2020-10-23,215.03,213.16,216.23,18879608
2020-10-22,213.93,211.7,214.89,22351450
2020-10-21,213.12,213.12,214.8,22724906
2020-10-20,215.8,213.0901,214.65,22753511
2020-10-19,220.415,213.72,214.22,27625841
2020-10-16,220.15,219.32,219.66,26057882
2020-10-15,217.1,216.01,219.66,22733064
2020-10-14,223.0,219.13,220.86,23451713
2020-10-13,222.72,220.43,222.86,28950843
2020-10-12,218.79,216.81,221.4,40461368
2020-10-09,211.23,211.23,215.81,26458047
2020-10-08,210.51,208.32,210.58,19925837
2020-10-07,207.06,206.72,209.83,25681054
2020-10-06,208.82,204.82,205.91,28554261
2020-10-05,207.22,206.98,210.38,21331561
2020-10-02,208.0,205.54,206.19,33154781
2020-10-01,213.49,211.32,212.46,27158418
2020-09-30,207.73,206.54,210.33,33829088
2020-09-29,209.35,206.81,207.26,24464472
2020-09-28,210.88,208.06,209.44,32004936
2020-09-25,203.55,202.54,207.82,29437312
2020-09-24,199.85,199.2,203.19,31202493
2020-09-23,207.9,200.03,200.59,30803780
2020-09-22,205.06,202.075,207.42,33517065
2020-09-21,197.19,196.38,202.54,39839657
2020-09-18,202.8,196.25,200.39,55225326
2020-09-17,200.05,199.96,202.91,34011257
2020-09-16,210.62,204.64,205.05,26372464
2020-09-15,208.42,206.93,208.78,21823942
2020-09-14,204.24,204.03,205.41,30375768
2020-09-11,207.2,201.24,204.03,33620073
2020-09-10,213.4,204.11,205.37,35461514
2020-09-09,207.6,206.7,211.29,45678986
2020-09-08,206.5,202.2,202.66,52924330
2020-09-04,215.1,205.19,214.25,59664072
2020-09-03,229.27,214.9602,217.3,58400288
2020-09-02,227.97,227.35,231.65,34080839
2020-09-01,225.51,224.43,227.27,25791235
2020-08-31,227.0,224.31,225.53,28774156
2020-08-28,228.18,226.58,228.91,26292896
2020-08-27,222.89,219.4,226.58,57602195
2020-08-26,217.88,217.36,221.15,39600828
2020-08-25,213.1,213.1,216.47,23043696
2020-08-24,214.79,212.43,213.69,25460147
2020-08-21,213.86,212.85,213.02,36249319
2020-08-20,209.54,208.91,214.58,26981478
2020-08-19,211.49,209.25,209.7,27627561
2020-08-18,210.53,209.21,211.49,21336167
2020-08-17,209.6,208.915,210.28,20184757
2020-08-14,208.76,207.51,208.9,17958936
2020-08-13,209.44,208.15,208.7,22588870
2020-08-12,205.29,204.75,209.19,28041364
2020-08-11,207.155,203.14,203.38,36446459
2020-08-10,211.67,206.35,208.25,36716462
2020-08-07,214.85,210.93,212.48,27820421
2020-08-06,212.34,211.55,216.35,32656843
2020-08-05,214.9,211.57,212.94,28858621
2020-08-04,214.17,210.31,213.29,49280056
2020-08-03,211.52,210.44,216.54,78983009
2020-07-31,204.4,199.01,205.01,51247969
2020-07-30,201.0,199.57,203.9,25079596
2020-07-29,202.5,202.01,204.06,19632602
2020-07-28,203.61,201.74,202.02,23251388
2020-07-27,201.47,200.86,203.85,30160867
2020-07-24,200.42,197.51,201.3,39826989
2020-07-23,207.19,202.15,202.54,67457035
2020-07-22,209.2,208.39,211.75,49605692
2020-07-21,213.66,208.03,208.75,38105777
2020-07-20,205.0,203.01,211.6,36884836
2020-07-17,204.47,201.39,202.88,31635281
2020-07-16,205.4,202.31,203.92,29940653
2020-07-15,209.56,205.03,208.04,32179409
2020-07-14,206.13,202.03,208.35,37591820
2020-07-13,214.48,206.5,207.07,38135606
2020-07-10,213.62,211.08,213.67,26177633
2020-07-09,216.33,211.47,214.32,33121681
2020-07-08,210.07,208.69,212.83,33600025
2020-07-07,210.45,207.99,208.25,33600732
2020-07-06,208.8335,208.09,210.7,31897629
2020-07-02,205.68,205.0,206.26,29315762
2020-07-01,203.14,201.77,204.7,32061206
2020-06-30,197.8816,197.74,203.51,34310283
2020-06-29,195.78,193.55,198.44,26701586
2020-06-26,199.73,194.88,196.33,54675780
2020-06-25,197.8,195.4675,200.34,27803933
2020-06-24,201.6043,196.56,197.84,36740647
2020-06-23,202.09,201.425,201.91,30917447
2020-06-22,195.79,195.2301,200.57,32818929
2020-06-19,198.59,194.37,195.15,44441141
2020-06-18,194.0,194.0,196.32,23061648
2020-06-17,195.03,193.69,194.24,25687822
2020-06-16,192.89,191.46,193.57,42556656
2020-06-15,184.58,184.01,188.94,32770189
2020-06-12,190.54,185.18,187.74,43373587
2020-06-11,193.13,186.07,186.27,52854672
2020-06-10,191.125,191.01,196.84,43872329
2020-06-09,188.0,187.2605,189.8,29783916
2020-06-08,185.94,184.44,188.36,33211590
2020-06-05,182.62,182.01,187.2,39893643
2020-06-04,184.3,182.3,182.92,28761809
2020-06-03,184.815,183.58,185.36,27311016
2020-06-02,184.25,181.35,184.91,30794585
2020-06-01,182.54,181.46,182.83,22668821
2020-05-29,182.73,180.41,183.25,42146720
2020-05-28,180.74,180.38,181.4,33831824
2020-05-27,180.2,176.6,181.81,39517146
2020-05-26,186.34,181.1,181.57,36073609
